순위,단어,품사,초성
2802,방금,부,ㅂㄱ
3810,벌떡,부,ㅂㄸ
686,벌써,부,ㅂㅆ
801,별로,부,ㅂㄹ
862,보다,부,ㅂㄷ
1794,보통,부,ㅂㅌ
5110,부지런히,부,ㅂㅈㄹㅎ
2742,분명,부,ㅂㅁ
1462,분명히,부,ㅂㅁㅎ
3584,불과,부,ㅂㄱ
1650,비교적,부,ㅂㄱㅈ
1534,비로소,부,ㅂㄹㅅ
572,빨리,부,ㅃㄹ
673,사실,부,ㅅㅅ
1883,사실상,부,ㅅㅅㅅ
2063,살짝,부,ㅅㅉ
5365,상관없이,부,ㅅㄱㅇㅇ
1602,상당히,부,ㅅㄷㅎ
968,새로,부,ㅅㄹ
6079,새로이,부,ㅅㄹㅇ
311,서로,부,ㅅㄹ
2131,서서히,부,ㅅㅅㅎ
5369,설사,부,ㅅㅅ
2598,소위,부,ㅅㅇ
7280,소중히,부,ㅅㅈㅎ
5024,소홀히,부,ㅅㅎㅎ
8812,손수,부,ㅅㅅ
2445,솔직히,부,ㅅㅈㅎ
4914,수시로,부,ㅅㅅㄹ
3590,수없이,부,ㅅㅇㅇ
614,스스로,부,ㅅㅅㄹ
5511,슬그머니,부,ㅅㄱㅁㄴ
5125,슬쩍,부,ㅅㅉ
2360,실로,부,ㅅㄹ
4004,실은,부,ㅅㅇ
3647,실제,부,ㅅㅈ
855,실제로,부,ㅅㅈㄹ
5128,실컷,부,ㅅㅋ
9233,싹,부,ㅆ
5944,썩,부,ㅆ
8832,쓸데없이,부,ㅆㄷㅇㅇ
1363,아까,부,ㅇㄲ
817,아니,부,ㅇㄴ
735,아마,부,ㅇㅁ
2135,아마도,부,ㅇㅁㄷ
1949,아무래도,부,ㅇㅁㄹㄷ
693,아무리,부,ㅇㅁㄹ
2969,아무튼,부,ㅇㅁㅌ
1557,아예,부,ㅇㅇ
2101,아울러,부,ㅇㅇㄹ
274,아주,부,ㅇㅈ
201,아직,부,ㅇㅈ
44,안,부,ㅇ
4444,안녕히,부,ㅇㄴㅎ
1299,앞서,부,ㅇㅅ
9685,야옹,부,ㅇㅇ
666,약간,부,ㅇㄱ
4919,어느덧,부,ㅇㄴㄷ
2028,어느새,부,ㅇㄴㅅ
1522,어서,부,ㅇㅅ
2138,어제,부,ㅇㅈ
1477,어쨌든,부,ㅇㅉㄷ
4537,어쩌다,부,ㅇㅉㄷ
8845,어쩌다가,부,ㅇㅉㄷㄱ
1354,어쩌면,부,ㅇㅉㅁ
4085,어쩐지,부,ㅇㅉㅈ
9257,어쩜,부,ㅇㅉ
1558,어찌,부,ㅇㅉ
7303,어찌나,부,ㅇㅉㄴ
891,언제,부,ㅇㅈ
794,언제나,부,ㅇㅈㄴ
1700,언젠가,부,ㅇㅈㄱ
1047,얼른,부,ㅇㄹ
285,얼마나,부,ㅇㅁㄴ
3045,얼핏,부,ㅇㅍ
171,없이,부,ㅇㅇ
9260,엊그제,부,ㅇㄱㅈ
4086,여간,부,ㅇㄱ
824,여전히,부,ㅇㅈㅎ
313,역시,부,ㅇㅅ
660,열심히,부,ㅇㅅㅎ
6844,영,부,ㅇ
3540,영원히,부,ㅇㅇㅎ
2533,예컨대,부,ㅇㅋㄷ
544,오늘,부,ㅇㄴ
978,오래,부,ㅇㄹ
6109,오래도록,부,ㅇㄹㄷㄹ
3765,오로지,부,ㅇㄹㅈ
2140,오직,부,ㅇㅈ
355,오히려,부,ㅇㅎㄹ
2253,온통,부,ㅇㅌ
795,완전히,부,ㅇㅈㅎ
159,왜,부,ㅇ
1301,왜냐하면,부,ㅇㄴㅎㅁ
2972,왠지,부,ㅇㅈ
430,우선,부,ㅇㅅ
2935,우연히,부,ㅇㅇㅎ
2322,워낙,부,ㅇㄴ
2604,유난히,부,ㅇㄴㅎ
4930,으레,부,ㅇㄹ
4826,의외로,부,ㅇㅇㄹ
4633,이같이,부,ㅇㄱㅇ
3544,이내,부,ㅇㄴ
5135,이대로,부,ㅇㄷㄹ
13671,이따가,부,ㅇㄸㄱ
5392,이따금,부,ㅇㄸㄱ
3545,이리,부,ㅇㄹ
4094,이리저리,부,ㅇㄹㅈㄹ
232,이미,부,ㅇㅁ
1764,이어,부,ㅇㅇ
5046,이어서,부,ㅇㅇㅅ
3368,이윽고,부,ㅇㅇㄱ
210,이제,부,ㅇㅈ
6864,이제야,부,ㅇㅈㅇ
1594,인제,부,ㅇㅈ
681,일단,부,ㅇㄷ
2392,일부러,부,ㅇㅂㄹ
4934,일일이,부,ㅇㅇㅇ
1186,일찍,부,ㅇㅉ
3160,일찍이,부,ㅇㅉㅇ
1385,자꾸,부,ㅈㄲ
3654,자꾸만,부,ㅈㄲㅁ
2255,자세히,부,ㅈㅅㅎ
3770,자연히,부,ㅈㅇㅎ
674,자주,부,ㅈㅈ
2166,잔뜩,부,ㅈㄸ
68,잘,부,ㅈ
1775,잘못,부,ㅈㅁ
2607,잠깐,부,ㅈㄲ
722,잠시,부,ㅈㅅ
5537,장차,부,ㅈㅊ
3833,재빨리,부,ㅈㅃㄹ
6674,저리,부,ㅈㄹ
4153,저마다,부,ㅈㅁㄷ
3326,저절로,부,ㅈㅈㄹ
2780,적당히,부,ㅈㄷㅎ
1447,적어도,부,ㅈㅇㄷ
3713,전부,부,ㅈㅂ
496,전혀,부,ㅈㅎ
3434,절대,부,ㅈㄷ
2477,절대로,부,ㅈㄷㄹ
1143,점점,부,ㅈㅈ
1285,점차,부,ㅈㅊ
349,정말,부,ㅈㅁ
2425,정말로,부,ㅈㅁㄹ
5968,정신없이,부,ㅈㅅㅇㅇ
2257,정확히,부,ㅈㅎㅎ
619,제대로,부,ㅈㄷㄹ
3547,제발,부,ㅈㅂ
3162,제법,부,ㅈㅂ
738,조금,부,ㅈㄱ
1735,조금씩,부,ㅈㄱㅆ
2047,조용히,부,ㅈㅇㅎ
90,좀,부,ㅈ
3887,종종,부,ㅈㅈ
641,주로,부,ㅈㄹ
8218,죽,부,ㅈ
3130,줄곧,부,ㅈㄱ
267,즉,부,ㅈ
3778,지극히,부,ㅈㄱㅎ
195,지금,부,ㅈㄱ
6894,지금껏,부,ㅈㄱㄲ
561,직접,부,ㅈㅈ
8945,진실로,부,ㅈㅅㄹ
1431,진짜,부,ㅈㅉ
3607,쭉,부,ㅉ
1874,차라리,부,ㅊㄹㄹ
4383,차마,부,ㅊㅁ
7924,차차,부,ㅊㅊ
3550,차츰,부,ㅊㅊ
622,참,부,ㅊ
1623,참으로,부,ㅊㅇㄹ
3440,채,부,ㅊ
1683,천천히,부,ㅊㅊㅎ
3299,철저히,부,ㅊㅈㅎ
1207,충분히,부,ㅊㅂㅎ
5425,탁,부,ㅌ
4473,텅,부,ㅌ
2728,특별히,부,ㅌㅂㅎ
192,특히,부,ㅌㅎ
9829,튼튼히,부,ㅌㅌㅎ
4848,틀림없이,부,ㅌㄹㅇㅇ
4570,퍽,부,ㅍ
7409,편히,부,ㅍㅎ
4478,푹,부,ㅍ
3169,하긴,부,ㅎㄱ
5304,하나하나,부,ㅎㄴㅎㄴ
3614,하도,부,ㅎㄷ
2753,하여튼,부,ㅎㅇㅌ
467,하지만,부,ㅎㅈㅁ
3960,하필,부,ㅎㅍ
3255,하하,부,ㅎㅎ
6160,한결,부,ㅎㄱ
2274,한꺼번에,부,ㅎㄲㅂㅇ
8985,한데,부,ㅎㄷ
3615,한창,부,ㅎㅊ
4574,한층,부,ㅎㅊ
635,한편,부,ㅎㅍ
95,함께,부,ㅎㄲ
2754,함부로,부,ㅎㅂㄹ
754,항상,부,ㅎㅅ
2540,해마다,부,ㅎㅁㄷ
10337,허허,부,ㅎㅎ
411,현재,부,ㅎㅈ
1426,혹시,부,ㅎㅅ
936,혹은,부,ㅎㅇ
3559,홀로,부,ㅎㄹ
4253,확,부,ㅎ
2399,확실히,부,ㅎㅅㅎ
5698,활발히,부,ㅎㅂㅎ
4320,활짝,부,ㅎㅉ
642,훨씬,부,ㅎㅆ
1004,흔히,부,ㅎㅎ
6524,힘껏,부,ㅎㄲ
9013,힘없이,부,ㅎㅇㅇ
